first,second,first_top1,second_top1,weaker_top1,best_solo_top1,mean_solo_top1,pair_top1,gain_over_best,gain_over_mean,relative_error_reduction_over_best,score_correlation,margin_correlation,correctness_correlation,prediction_disagreement,double_fault,wrong_winner_agreement,oracle_top1,oracle_headroom_over_best,oracle_headroom_realized
sqf_bigg,tsconv_bigg_seed3301,34.1,32.15,32.15,34.1,33.125,36.15,2.049999999999997,3.0249999999999986,0.031107738998482504,0.9256638856906674,0.7585650566003882,0.5414018797435861,0.5235,0.567,0.43562610229276894,43.3,9.199999999999996,0.22282608695652154
sqf_bigg,p3300,34.1,35.05,34.1,35.05,34.575,41.15,6.100000000000001,6.574999999999996,0.09391839876828331,0.8534126032162844,0.6360678118207395,0.42214014055756244,0.6215,0.5235,0.3123209169054441,47.65,12.600000000000001,0.4841269841269842
sqf_bigg,p3301,34.1,34.849999999999994,34.1,34.849999999999994,34.474999999999994,40.1,5.250000000000007,5.625000000000007,0.08058326937835773,0.8521743287621569,0.6417605157095033,0.4522814364835432,0.6195,0.5315,0.30009407337723426,46.85,12.000000000000007,0.43750000000000033
sqf_bigg,p3302,34.1,34.599999999999994,34.1,34.599999999999994,34.349999999999994,40.699999999999996,6.100000000000001,6.350000000000001,0.09327217125382264,0.8532302155043254,0.6326891805352647,0.42356514283430957,0.625,0.5265,0.3067426400759734,47.349999999999994,12.75,0.47843137254901974
sqf_vith,multi_eva,30.7,30.4,30.4,30.7,30.549999999999997,36.25,5.550000000000001,5.700000000000003,0.0800865800865801,0.849634739904182,0.5845251370174774,0.3825859614445866,0.668,0.5635,0.2795031055900621,43.65,12.95,0.42857142857142866
sqf_vith,multi_vith,30.7,28.449999999999996,28.449999999999996,30.7,29.574999999999996,33.75,3.0500000000000007,4.175000000000004,0.04401154401154402,0.9069123806616661,0.7189867679096593,0.5221339659955525,0.5985,0.6045,0.3399503722084367,39.550000000000004,8.850000000000005,0.3446327683615818
sqf_vith,encv3_multiscale_sqf,30.7,34.9,30.7,34.9,32.8,38.05,3.1499999999999986,5.25,0.04838709677419353,0.8801019128365631,0.642918872734586,0.42690147535376716,0.6265,0.545,0.3165137614678899,45.5,10.600000000000001,0.29716981132075454
sqf_vith,encv3_multiscale_bissm,30.7,29.5,29.5,30.7,30.1,36.8,6.099999999999998,6.699999999999996,0.08802308802308799,0.8523137168419189,0.5876357082675111,0.382387506685472,0.693,0.569,0.2390158172231986,43.1,12.400000000000002,0.49193548387096747
sqf_vith,encv3_ranked_perceiver,30.7,33.050000000000004,30.7,33.050000000000004,31.875,37.2,4.149999999999999,5.325000000000003,0.06198655713218819,0.8717639294042699,0.6155455458117847,0.39653900011450044,0.6505,0.55,0.29454545454545455,45.0,11.949999999999996,0.3472803347280335
sqf_vith,dimfrozen_fd32,30.7,32.85,30.7,32.85,31.775,36.199999999999996,3.3499999999999943,4.424999999999997,0.04988830975428137,0.8923995234764033,0.6707330613767355,0.44383857648958785,0.6325,0.5615,0.30365093499554763,43.85,11.0,0.304545454545454
